Occupancy,Flood,Age
1.200,0.000,0.217
1.200,0.000,0.219
1.200,0.000,0.222
1.200,0.000,0.153
1.200,0.000,0.159
1.200,0.000,0.162
1.200,0.000,0.165
1.200,0.000,0.171
1.200,0.000,0.174
1.200,0.000,0.177
1.200,0.000,0.183
1.200,0.000,0.186
1.200,0.000,0.189
1.200,0.000,0.192
1.200,0.000,0.199
1.200,0.000,0.174
1.200,0.000,0.180
1.200,0.000,0.183
1.200,0.000,0.172
1.200,0.000,0.179
1.200,0.000,0.181
1.200,0.000,0.184
1.200,0.000,0.187
1.200,0.000,0.193
1.200,0.000,0.196
1.200,0.000,0.199
1.200,0.000,0.202
1.200,0.000,0.208
1.200,0.000,0.211
1.200,0.000,0.214
1.200,0.000,0.221
1.200,0.000,0.223
1.200,0.000,0.226
1.200,0.000,0.233
1.200,0.000,0.236
1.200,0.000,0.239
1.200,0.000,0.242
1.200,0.000,0.248
1.200,0.000,0.251
1.200,0.000,0.254
1.200,0.000,0.257
1.200,0.000,0.239
1.200,0.000,0.242
1.200,0.000,0.245
1.200,0.000,0.252
1.200,0.000,0.254
1.200,0.000,0.257
1.200,0.000,0.263
1.200,0.000,0.266
1.200,0.000,0.234
1.200,0.000,0.240
1.200,0.000,0.243
1.200,0.000,0.245
1.200,0.000,0.251
1.200,0.000,0.254
1.200,0.000,0.256
1.200,0.000,0.240
1.200,0.000,0.242
1.200,0.000,0.245
1.200,0.000,0.251
1.200,0.000,0.251
1.200,0.000,0.254
1.200,0.000,0.260
1.200,0.000,0.262
1.200,0.000,0.265
1.200,0.000,0.268
1.200,0.000,0.274
1.200,0.000,0.276
1.200,0.000,0.279
1.200,0.000,0.285
1.200,0.000,0.288
1.200,0.000,0.290
1.200,0.000,0.292
1.200,0.000,0.298
1.200,0.000,0.301
1.200,0.000,0.307
1.200,0.000,0.309
1.200,0.000,0.316
1.200,0.000,0.318
1.200,0.000,0.317
1.200,0.000,0.323
1.200,0.000,0.325
1.200,0.000,0.328
1.200,0.000,0.333
1.200,0.000,0.336
1.200,0.000,0.338
1.200,0.000,0.345
1.200,0.000,0.347
1.200,0.000,0.349
1.200,0.000,0.356
1.200,0.000,0.358
1.200,0.000,0.360
1.200,0.000,0.367
1.200,0.000,0.369
1.200,0.000,0.372
1.200,0.000,0.375
1.200,0.000,0.381
1.200,0.000,0.384
1.200,0.000,0.387
1.200,0.000,0.393
1.200,0.000,0.396
1.200,0.000,0.368
1.200,0.000,0.373
1.200,0.000,0.380
1.200,0.000,0.381
1.200,0.000,0.387
1.200,0.000,0.389
1.200,0.000,0.378
1.200,0.000,0.361
1.200,0.000,0.367
1.200,0.000,0.372
1.200,0.000,0.375
1.200,0.000,0.381
1.200,0.000,0.383
1.200,0.000,0.389
1.200,0.000,0.392
1.200,0.000,0.398
1.200,0.000,0.400
1.200,0.000,0.406
1.200,0.000,0.409
1.200,0.000,0.411
1.200,0.000,0.417
1.200,0.000,0.419
