State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
71,1,0,7,0.12-0.25,0.00-0.12,0.88-1.00,-0.0083,0.0698,0.0,0.0,INC_AGE
72,1,1,0,0.12-0.25,0.12-0.25,0.00-0.12,-0.3005,-0.2914,-0.2297,-0.2368,DEC_AGE
73,1,1,1,0.12-0.25,0.12-0.25,0.12-0.25,0.0,0.0,-0.0697,0.0,EVICT
74,1,1,2,0.12-0.25,0.12-0.25,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
75,1,1,3,0.12-0.25,0.12-0.25,0.38-0.50,0.0,-0.0685,0.0,0.0,EVICT
76,1,1,4,0.12-0.25,0.12-0.25,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
77,1,1,5,0.12-0.25,0.12-0.25,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
78,1,1,6,0.12-0.25,0.12-0.25,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
79,1,1,7,0.12-0.25,0.12-0.25,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
80,1,2,0,0.12-0.25,0.25-0.38,0.00-0.12,-0.1276,-0.086,-0.345,-0.0481,REBALANCE
81,1,2,1,0.12-0.25,0.25-0.38,0.12-0.25,-0.1007,0.0,-0.3467,0.0,INC_AGE
82,1,2,2,0.12-0.25,0.25-0.38,0.25-0.38,-0.0094,-0.0561,0.0,0.0,DEC_AGE
83,1,2,3,0.12-0.25,0.25-0.38,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
84,1,2,4,0.12-0.25,0.25-0.38,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
85,1,2,5,0.12-0.25,0.25-0.38,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
86,1,2,6,0.12-0.25,0.25-0.38,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
87,1,2,7,0.12-0.25,0.25-0.38,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
88,1,3,0,0.12-0.25,0.38-0.50,0.00-0.12,0.0,0.0,-0.2334,0.0,EVICT
89,1,3,1,0.12-0.25,0.38-0.50,0.12-0.25,0.0,-0.0362,-0.01,0.0,EVICT
90,1,3,2,0.12-0.25,0.38-0.50,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
91,1,3,3,0.12-0.25,0.38-0.50,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
92,1,3,4,0.12-0.25,0.38-0.50,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
93,1,3,5,0.12-0.25,0.38-0.50,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
94,1,3,6,0.12-0.25,0.38-0.50,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
95,1,3,7,0.12-0.25,0.38-0.50,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
96,1,4,0,0.12-0.25,0.50-0.62,0.00-0.12,-0.1123,-0.4027,-0.0582,0.0,REBALANCE
97,1,4,1,0.12-0.25,0.50-0.62,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
98,1,4,2,0.12-0.25,0.50-0.62,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
99,1,4,3,0.12-0.25,0.50-0.62,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
100,1,4,4,0.12-0.25,0.50-0.62,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
